case_id,type,canonical,matched,normalized,statute,date,year
1960_1_39_92_EN,statute,Bharatiya Nyaya Sanhita,"On the
contrary, these affidavits make it perfectly plain that
in the foreseeable future there is no hope of export of
sugar being made at a profit. Indeed, it is said in
these affidavits that the scheme of the Act is bnsed on
the pooling of the losses caused by the exports made
under it. It is hardly neeessary to point out that if
the exports con kl be expected t.o prnduce a profit in
in the near future, the nocrcivc machinery of the Act",Bharatiya Nyaya Sanhita,Bharatiya Nyaya Sanhita,,1960
1963_2_864_881_EN,statute,"For a oorreot understanding of the true scope of the seotion, it is neceBSary to refer to the history of the Legislation relating to it. The earliest enactment dealing with this subjeot is the Arms and Ammunition and Military Stores Act","For a oorreot understanding of the true scope of
the seotion, it is neceBSary to refer to the history
of the Legislation relating to it.
The earliest enactment dealing with this
subjeot is the Arms and Ammunition and Military
Stores Act","For a oorreot understanding of the true scope of the seotion, it is neceBSary to refer to the history of the Legislation relating to it. The earliest enactment dealing with this subjeot is the Arms and Ammunition and Military Stores Act","For a oorreot understanding of the true scope of the seotion, it is neceBSary to refer to the history of the Legislation relating to it. The earliest enactment dealing with this subjeot is the Arms and Ammunition and Military Stores Act",,1963
1968_1_104_110_EN,section,Section 97(1),"ss. 97(1), 117, 118",97(1),Bharatiya Nyaya Sanhita,,1968
1968_1_104_110_EN,section,Section 97,s. 97,97,Bharatiya Nyaya Sanhita,,1968
1968_1_104_110_EN,section,Section 97,s. 97,97,Bharatiya Nyaya Sanhita,,1968
1968_1_104_110_EN,section,Section 97,s. 97,97,Bharatiya Nyaya Sanhita,,1968
1968_1_104_110_EN,section,Section 117,s. 117,117,Bharatiya Nyaya Sanhita,,1968
1968_1_104_110_EN,section,Section 97,s. 97,97,Bharatiya Nyaya Sanhita,,1968
1968_1_104_110_EN,section,Section 97,s. 97,97,Bharatiya Nyaya Sanhita,,1968
1968_1_104_110_EN,section,Section 97,s. 97,97,Bharatiya Nyaya Sanhita,,1968
1968_1_104_110_EN,section,Section 117,ss. 117,117,Bharatiya Nyaya Sanhita,,1968
1968_1_104_110_EN,section,Section 97,s. 97,97,Bharatiya Nyaya Sanhita,,1968
1968_1_104_110_EN,section,Section 97,s. 97,97,Bharatiya Nyaya Sanhita,,1968
1968_1_813_820_EN,coram,"Hon'ble Justice Dutta went away to Sibsagar after
the vacation sitting on October","Justice Dutta went away to Sibsagar after
the vacation sitting on October","Dutta went away to Sibsagar after
the vacation sitting on October",,,1968
1968_1_813_820_EN,coram,"Hon'ble Justice Dutta was holding the Commission of Enquiry and presented the writ petition there. This petition was entertained by F
Mr. Justice Dutta and he passed interim orders thereon. A copy
of the interim order was prepared at Sibsagar ancl given to the
appellant to be taken to Gauhati where it was to be sealed. The
appellant took the order to Gauhati and after getting it sealed
served it on the university. He was thereupon allowed ttJ sit at
the examlnatidp subject to","Justice Dutta was holding the Commission of Enquiry and presented the writ petition there. This petition was entertained by F
Mr. Justice Dutta and he passed interim orders thereon. A copy
of the interim order was prepared at Sibsagar ancl given to the
appellant to be taken to Gauhati where it was to be sealed. The
appellant took the order to Gauhati and after getting it sealed
served it on the university. He was thereupon allowed ttJ sit at
the examlnatidp subject to","Dutta was holding the Commission of Enquiry and presented the writ petition there. This petition was entertained by F
Mr. Justice Dutta and he passed interim orders thereon. A copy
of the interim order was prepared at Sibsagar ancl given to the
appellant to be taken to Gauhati where it was to be sealed. The
appellant took the order to Gauhati and after getting it sealed
served it on the university. He was thereupon allowed ttJ sit at
the examlnatidp subject to",,,1968
1968_1_813_820_EN,coram,"Hon'ble Justice Dutta could not pass any order as a Judge
B of the High Court at Sibsagar","Justice Dutta could not pass any order as a Judge
B of the High Court at Sibsagar","Dutta could not pass any order as a Judge
B of the High Court at Sibsagar",,,1968
1973_1_773_800_EN,statute,Bharatiya Nyaya Sanhita,"Act relating to appointments to the civil service of, and civil
posts under, the Crown in India by the Secretary of
State, or the provisibns of that Act",Bharatiya Nyaya Sanhita,Bharatiya Nyaya Sanhita,,1973
1974_1_274_280_EN,section,Section 76,section 76,76,Bharatiya Nyaya Sanhita,,1974
1974_1_274_280_EN,section,Section 258,section 258,258,Bharatiya Nyaya Sanhita,,1974
1974_1_274_280_EN,section,Section 68,section 68,68,Bharatiya Nyaya Sanhita,,1974
1974_1_274_280_EN,section,Section 68,section 68,68,Bharatiya Nyaya Sanhita,,1974
1974_1_274_280_EN,section,Section 68,section 68,68,Bharatiya Nyaya Sanhita,,1974
1974_1_274_280_EN,section,Section 76,section 76,76,Bharatiya Nyaya Sanhita,,1974
2009_6_353_361_EN,statute,"Panchayats and Nyaya Panchayats Act, 1983","Panchayats and
Nyaya Panchayats Act, 1983","Panchayats and Nyaya Panchayats Act, 1983","Panchayats and Nyaya Panchayats Act, 1983",,2009
2011_15_540_614_EN,section,Section 482,Section 482,482,Bharatiya Sakshya Adhiniyam,,2011
1976_1_333_340_EN,statute,Bharatiya Nyaya Sanhita,"Part
VI. The scheme tbns separates issue of licences and levy of licence
fees from taxes on property and other items.
Prima facie,
in the
absence of other compelling factors, to lug in a taxing provision into
Part VI may, therefore, lead to obscruity and confusion.
The Calcutta Municipal Act, 1951",Bharatiya Nyaya Sanhita,Bharatiya Nyaya Sanhita,"29th September, 1972",1972
1977_3_172_181_EN,statute,Bharatiya Nyaya Sanhita,"Court.
Even then the present grievance
of non-hearing was not pressed.
He has missed the bns and his
contention based on the new Code",Bharatiya Nyaya Sanhita,Bharatiya Nyaya Sanhita,,1977
1977_3_182_194_EN,statute,Bharatiya Nyaya Sanhita,"Court will always lie to question the order of a tribunal created
by a statute, even if its order is, expressly or by necessary implication,
made final, if the said tribunal abnses its power or does not act under
c
the Act",Bharatiya Nyaya Sanhita,Bharatiya Nyaya Sanhita,,1977
1978_2_537_572_EN,section,Section 20,Section 20,20,Bharatiya Nyaya Sanhita,,1978
1978_2_537_572_EN,section,Section 20,Section 20,20,Bharatiya Nyaya Sanhita,,1978
1984_3_190_215_EN,statute,Bharatiya Nyaya Sanhita,"Cases is that the applicatibns for grant of privilege or licence must be considered
fairly.
There are no inflexible rules of natural justice of universal application.
Each case depends on its own Circumstances. Rules",Bharatiya Nyaya Sanhita,Bharatiya Nyaya Sanhita,,1984
1988_2_511_529_EN,statute,Bharatiya Nyaya Sanhita,"Act.
k
Therefore, they claim no unrestricted right to exhibit cinematograph
films. They have been carrying on the bnsiness exhibiting films under a
licence in form F which contained the terms and conditions prescribed
by the Act and the Rules",Bharatiya Nyaya Sanhita,Bharatiya Nyaya Sanhita,,1988
1990_2_517_525_EN,section,Section 3,Section 3,3,Bharatiya Nyaya Sanhita,,1990
1990_3_336_351_EN,statute,Nyaya Panchayats Act,Nyaya Panchayats Act,Nyaya Panchayats Act,Nyaya Panchayats Act,,1990
1990_3_336_351_EN,statute,"Panchayats and Nyaya Panchayats Act, 1983","Panchayats and Nyaya Panchayats Act, 1983","Panchayats and Nyaya Panchayats Act, 1983","Panchayats and Nyaya Panchayats Act, 1983",,1990
1992_1_286_294_EN,statute,"Panchayats and Nyaya Panchayats Act, 1983","Panchayats and Nyaya Panchayats Act, 1983","Panchayats and Nyaya Panchayats Act, 1983","Panchayats and Nyaya Panchayats Act, 1983",,1992
1992_1_286_294_EN,statute,Panchayats and Nyaya Panchayats Act,Panchayats and Nyaya Panchayats Act,Panchayats and Nyaya Panchayats Act,Panchayats and Nyaya Panchayats Act,,1992
1992_1_286_294_EN,statute,"Panchayats and Nyaya Panchayats Act, 1983","Panchayats and Nyaya
Panchayats Act, 1983","Panchayats and Nyaya Panchayats Act, 1983","Panchayats and Nyaya Panchayats Act, 1983",,1992
1992_1_286_294_EN,statute,"Karnataka Zila Parishads, Taluk Panchayat Samithis, Mandal Panchayats and Nyaya Panchayats Act, 1983","Karnataka Zila Parishads, Taluk Panchayat Samithis, Mandal
Panchayats and Nyaya Panchayats Act, 1983","Karnataka Zila Parishads, Taluk Panchayat Samithis, Mandal Panchayats and Nyaya Panchayats Act, 1983","Karnataka Zila Parishads, Taluk Panchayat Samithis, Mandal Panchayats and Nyaya Panchayats Act, 1983",,1992
1992_1_286_294_EN,statute,"Pancbayats and Nyaya Panchayats Act, 1983","Pancbayats and Nyaya Panchayats Act, 1983","Pancbayats and Nyaya Panchayats Act, 1983","Pancbayats and Nyaya Panchayats Act, 1983",,1992
1992_2_397_407_EN,statute,BSA of the Act,BSA of the Act,BSA of the Act,BSA of the Act,,1992
1992_3_23_69_EN,statute,"Wakefield. He telephoned to the Police Station and thereafter he was proceeding to Embsay on his Motor Cycle. His means of transport was approved by superior officer. He was entitled to milage allowance. When he was going to Embsay, he met with an accident. He too laid his claim under Social Security Act","Wakefield. He telephoned to the Police Station and
thereafter he was proceeding to Embsay on his Motor Cycle. His means of
transport was approved by superior officer. He was entitled to milage
allowance. When he was going to Embsay, he met with an accident. He too
laid his claim under Social Security Act","Wakefield. He telephoned to the Police Station and thereafter he was proceeding to Embsay on his Motor Cycle. His means of transport was approved by superior officer. He was entitled to milage allowance. When he was going to Embsay, he met with an accident. He too laid his claim under Social Security Act","Wakefield. He telephoned to the Police Station and thereafter he was proceeding to Embsay on his Motor Cycle. His means of transport was approved by superior officer. He was entitled to milage allowance. When he was going to Embsay, he met with an accident. He too laid his claim under Social Security Act",,1992
1994_2_208_238_EN,statute,Bharatiya Nyaya Sanhita,"Chapter I deal with definitions
and connected matters. The provisions in Chapter II deal with the powers
of the Central Government to take measures for preventing and combating
abnse of and illicit traffic in narcotic drugs and to appoint authorities and
C officers to exercise the powers under the Act",Bharatiya Nyaya Sanhita,Bharatiya Nyaya Sanhita,,1994
1995_2_1015_1060_EN,statute,Nyaya Panchayats-Organisation of-Act,"Nyaya Panchayats-Organisation
of-Act",Nyaya Panchayats-Organisation of-Act,Nyaya Panchayats-Organisation of-Act,,1995
2025_5_1221_1247_EN,section,Section 409,"Sections 409, 420, 120",409,Bharatiya Nyaya Sanhita,,2025
2025_5_1221_1247_EN,section,Section 34,Sections 34,34,Bharatiya Nyaya Sanhita,,2025
2025_5_1221_1247_EN,section,Section 316(5),"Sections 316(5), 318(4), 61(2),
3",316(5),Bharatiya Nyaya Sanhita,,2025
2025_5_1221_1247_EN,section,Section 7,"Sections 7, 7A,
8",7,Bharatiya Nyaya Sanhita,,2025
2025_5_730_734_EN,section,Section 223,s.223,223,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_5_730_734_EN,section,Section 223,s.223,223,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_5_730_734_EN,section,Section 44,s.44,44,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_5_730_734_EN,section,Section 223,s. 223,223,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_5_730_734_EN,section,Section 223,s.223,223,Bharatiya Nagarik Suraksha Sanhita,,2025
