bns_section,raw_text,citation_count,ipc_equivalent
77,Section 77,1,Legacy Mapping / Special Provision
498A,Section 498A,1,Legacy Mapping / Special Provision
77,"Section
77",1,Legacy Mapping / Special Provision
175,"Section
175",1,Legacy Mapping / Special Provision
85,Sections 85,1,Legacy Mapping / Special Provision
105,"Section
105",1,304 (Culpable Homicide)
196,"Sections 196,
197, 299",1,Legacy Mapping / Special Provision
482,s.482,1,Legacy Mapping / Special Provision
318,Section 318,1,420 (Cheating)
80,Section 80,1,Legacy Mapping / Special Provision
48,s.48,1,Legacy Mapping / Special Provision
4,"ss. 4, 5",1,Legacy Mapping / Special Provision
107,Section 107,1,Legacy Mapping / Special Provision
197,s.197,1,Legacy Mapping / Special Provision
74,Section 74,1,Legacy Mapping / Special Provision
70,Section 70,1,Legacy Mapping / Special Provision
196,"Sections 196, 197, 299",1,Legacy Mapping / Special Provision
45,Section 45,1,Legacy Mapping / Special Provision
409,Section 409,1,Legacy Mapping / Special Provision
37,Section 37,1,Legacy Mapping / Special Provision
5,s.5,1,Legacy Mapping / Special Provision
4,s.4,1,Legacy Mapping / Special Provision
173,Section  173,1,Info to Police / FIR (BNSS 173 / CrPC 154)
70,"Section
70",1,Legacy Mapping / Special Provision
79,"Section
79",1,Legacy Mapping / Special Provision
199,Section 199,1,Legacy Mapping / Special Provision
94,"Sections
94",1,Legacy Mapping / Special Provision
108,s.108,1,Legacy Mapping / Special Provision
180,Section 180,1,Legacy Mapping / Special Provision
74,"Sections
74",1,Legacy Mapping / Special Provision
80,s.80,1,Legacy Mapping / Special Provision
3,Sections 3,1,Legacy Mapping / Special Provision
27,Section 27,1,Legacy Mapping / Special Provision
97(1),"ss. 97(1), 117, 118",1,Legacy Mapping / Special Provision
117,s. 117,1,Legacy Mapping / Special Provision
117,Section 117,1,Legacy Mapping / Special Provision
173,"Section
173",1,Info to Police / FIR (BNSS 173 / CrPC 154)
19,"Section
19",1,Legacy Mapping / Special Provision
306,"ss.306, 107",1,379 (Theft)
409,"Sections 409, 420, 120",1,Legacy Mapping / Special Provision
64,"Sections 64, 65, 66, 67, 68, 70",1,376 (Rape)
316,Section 316,1,Legacy Mapping / Special Provision
115(2),"ss.115(2), 352,
351(3), 109(1), 110, 311",1,Legacy Mapping / Special Provision
318,"Section 318,
336, 319",1,420 (Cheating)
213,Section 213,1,Legacy Mapping / Special Provision
196,"ss.196,
197, 299",1,Legacy Mapping / Special Provision
299,Section 299,1,Legacy Mapping / Special Provision
74,"Section
74",1,Legacy Mapping / Special Provision
3,s.3,1,Legacy Mapping / Special Provision
61,Section 61,1,Legacy Mapping / Special Provision
